"Match_date","Match_number","Match_venue","Match_time","Toss_winner","Toss_decision","Team1","Team1_score","Team2","Team2_score","Winning_team","Winning_margin"
"Apr 18, 2008","1st match","M Chinnaswamy Stadium, Bangalore","night","Royal Challengers Bangalore","field","Kolkata Knight Riders","222/3","RCB","82","Kolkata Knight Riders","140 runs"
"Apr 19, 2008","2nd match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Chennai Super Kings","bat","Chennai Super Kings","240/5","Kings XI Punjab","207/4","Chennai Super Kings","33 runs"
"Apr 19, 2008","3rd match","Feroz Shah Kotla, Delhi","night","Rajasthan Royals","bat","Rajasthan Royals","129/8","Delhi Daredevils","132/1","Delhi Daredevils","9 wickets (with 29 balls remaining)"
"Apr 20, 2008","4th match","Eden Gardens, Kolkata","day/night","Deccan Chargers","bat","Deccan Chargers","110","Kolkata Knight Riders","112/5","Kolkata Knight Riders","5 wickets (with 6 balls remaining)"
"Apr 20, 2008","5th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","bat","Mumbai Indians","165/6","RCB","166/5","Royal Challengers Bangalore","5 wickets (with 2 balls remaining)"
"Apr 21, 2008","6th match","Sawai Mansingh Stadium, Jaipur","night","Kings XI Punjab","bat","Kings XI Punjab","166/8","Rajasthan Royals","168/4","Rajasthan Royals","6 wickets (with 11 balls remaining)"
"Apr 22, 2008","7th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Deccan Chargers","bat","Deccan Chargers","142/8","Delhi Daredevils","143/1","Delhi Daredevils","9 wickets (with 42 balls remaining)"
"Apr 23, 2008","8th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Mumbai Indians","field","Chennai Super Kings","208/5","Mumbai Indians","202/7","Chennai Super Kings","6 runs"
"Apr 24, 2008","9th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Rajasthan Royals","field","Deccan Chargers","214/5","Rajasthan Royals","217/7","Rajasthan Royals","3 wickets (with 1 ball remaining)"
"Apr 25, 2008","10th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Mumbai Indians","field","Kings XI Punjab","182","Mumbai Indians","116/9","Kings XI Punjab","66 runs"
"Apr 26, 2008","11th match","MA Chidambaram Stadium, Chepauk, Chennai","day/night","Kolkata Knight Riders","bat","Kolkata Knight Riders","147/9","Chennai Super Kings","152/1","Chennai Super Kings","9 wickets (with 18 balls remaining)"
"Apr 26, 2008","12th match","M Chinnaswamy Stadium, Bangalore","night","Rajasthan Royals","field","RCB","135/8","Rajasthan Royals","138/3","Rajasthan Royals","7 wickets (with 17 balls remaining)"
"Apr 27, 2008","13th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","day/night","Delhi Daredevils","bat","Delhi Daredevils","158/8","Kings XI Punjab","162/6","Kings XI Punjab","4 wickets (with 3 balls remaining)"
"Apr 27, 2008","14th match","Dr DY Patil Sports Academy, Mumbai","night","Deccan Chargers","field","Mumbai Indians","154/7","Deccan Chargers","155/0","Deccan Chargers","10 wickets (with 48 balls remaining)"
"Apr 28, 2008","15th match","M Chinnaswamy Stadium, Bangalore","night","Chennai Super Kings","bat","Chennai Super Kings","178/5","RCB","165","Chennai Super Kings","13 runs"
"Apr 29, 2008","16th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","137/8","Mumbai Indians","138/3","Mumbai Indians","7 wickets (with 8 balls remaining)"
"Apr 30, 2008","17th match","Feroz Shah Kotla, Delhi","night","Royal Challengers Bangalore","field","Delhi Daredevils","191/5","RCB","181/5","Delhi Daredevils","10 runs"
"May 1, 2008","18th match","Sawai Mansingh Stadium, Jaipur","day/night","Rajasthan Royals","bat","Rajasthan Royals","196/7","Kolkata Knight Riders","151","Rajasthan Royals","45 runs"
"May 1, 2008","19th match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","night","Kings XI Punjab","field","Deccan Chargers","164/8","Kings XI Punjab","167/3","Kings XI Punjab","7 wickets (with 7 balls remaining)"
"May 2, 2008","20th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Chennai Super Kings","bat","Chennai Super Kings","169/6","Delhi Daredevils","172/2","Delhi Daredevils","8 wickets (with 6 balls remaining)"
"May 3, 2008","21st match","M Chinnaswamy Stadium, Bangalore","day/night","Deccan Chargers","field","RCB","156/8","Deccan Chargers","153/6","Royal Challengers Bangalore","3 runs"
"May 3, 2008","22nd match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Kings XI Punjab","bat","Kings XI Punjab","178/6","Kolkata Knight Riders","169/6","Kings XI Punjab","9 runs"
"May 4, 2008","23rd match","Dr DY Patil Sports Academy, Mumbai","day/night","Delhi Daredevils","field","Mumbai Indians","162/8","Delhi Daredevils","133","Mumbai Indians","29 runs"
"May 4, 2008","24th match","Sawai Mansingh Stadium, Jaipur","night","Chennai Super Kings","bat","Chennai Super Kings","109","Rajasthan Royals","110/2","Rajasthan Royals","8 wickets (with 34 balls remaining)"
"May 5, 2008","25th match","M Chinnaswamy Stadium, Bangalore","night","Kings XI Punjab","field","RCB","126","Kings XI Punjab","127/4","Kings XI Punjab","6 wickets (with 10 balls remaining)"
"May 6, 2008","26th match","MA Chidambaram Stadium, Chepauk, Chennai","night","Deccan Chargers","field","Chennai Super Kings","144/7","Deccan Chargers","148/3","Deccan Chargers","7 wickets (with 12 balls remaining)"
"May 7, 2008","27th match","Dr DY Patil Sports Academy, Mumbai","night","Mumbai Indians","field","Rajasthan Royals","103","Mumbai Indians","104/3","Mumbai Indians","7 wickets (with 29 balls remaining)"
"May 8, 2008","28th match","Feroz Shah Kotla, Delhi","day/night","Chennai Super Kings","field","Delhi Daredevils","187/5","Chennai Super Kings","188/6","Chennai Super Kings","4 wickets (with 0 balls remaining)"
"May 8, 2008","29th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","129/7","RCB","124/4","Kolkata Knight Riders","5 runs"
"May 9, 2008","30th match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","field","Deccan Chargers","140/8","Rajasthan Royals","141/2","Rajasthan Royals","8 wickets (with 24 balls remaining)"
"May 10, 2008","31st match","MA Chidambaram Stadium, Chepauk, Chennai","night","Kings XI Punjab","field","Chennai Super Kings","181/4","Kings XI Punjab","163/9","Chennai Super Kings","18 runs"
"May 11, 2008","32nd match","Rajiv Gandhi International Stadium, Uppal, Hyderabad","day/night","Kolkata Knight Riders","bat","Kolkata Knight Riders","204/4","Deccan Chargers","181/7","Kolkata Knight Riders","23 runs"
"May 11, 2008","33rd match","Sawai Mansingh Stadium, Jaipur","night","Rajasthan Royals","field","Delhi Daredevils","156/7","Rajasthan Royals","159/7","Rajasthan Royals","3 wickets (with 5 balls remaining)"
"May 12, 2008","34th match","Punjab Cricket Association Stadium, Mohali, Chandigarh","night","Royal Challengers Bangalore","bat","RCB","143/8","Kings XI Punjab","144/1","Kings XI Punjab","9 wickets (with 26 balls remaining)"
"May 13, 2008","35th match","Eden Gardens, Kolkata","night","Kolkata Knight Riders","bat","Kolkata Knight Riders","133/6","Delhi Daredevils","110","Kolkata Knight Riders","23 runs"
"May 14, 2008","36th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Chennai Super Kings","156/6","Mumbai Indians","158/1","Mumbai Indians","9 wickets (with 37 balls remaining)"
"May 15, 2008","37th match","Feroz Shah Kotla, Delhi","night","Deccan Chargers","field","Delhi Daredevils","194/4","Deccan Chargers","182/9","Delhi Daredevils","12 runs"
"May 16, 2008","38th match","Wankhede Stadium, Mumbai","night","Mumbai Indians","field","Kolkata Knight Riders","67","Mumbai Indians","68/2","Mumbai Indians","8 wickets (with 87 balls remaining)"
